name,BIKE BOULEVARD,BIKE LANE,CONTRAFLOW,SHARED BUS BIKE,SHARROW,SIDEPATH,SIGNED ROUTE,<NA>
ALBEMARLE ST,NA,NA,NA,NA,109.914172745,NA,234.91900309,NA
ALICEANNA ST,NA,NA,NA,NA,250.71030352842106,NA,NA,NA
ARGONNE DR,NA,1312.60837294,NA,NA,NA,NA,NA,NA
ART MUSEUM DR,NA,NA,NA,NA,NA,NA,277.65798712000003,NA
AUCHENTOROLY TERR,NA,1341.82907995,NA,NA,NA,NA,NA,NA
BANK ST,NA,165.7379772811111,NA,NA,NA,NA,146.8146408035484,NA
BATTERY AVE,NA,NA,NA,NA,NA,NA,155.854911215,NA
BEAUMONT AVE,NA,NA,NA,NA,NA,NA,389.62331852875,NA
BELAIR ROAD,NA,NA,NA,NA,190.013294841,NA,NA,NA
BOSTON ST,NA,195.1282716925,NA,NA,NA,NA,NA,25.72127253
CHARLCOTE ROAD,NA,NA,NA,NA,NA,NA,242.17639749666665,NA
CHERRY HILL ROAD,NA,290.426370232,NA,NA,NA,NA,NA,NA
CHERRYLAND ROAD,NA,NA,NA,NA,271.93212539,NA,NA,NA
CHESTNUT AVE,NA,NA,NA,NA,219.76022793142857,NA,NA,NA
CLARKS LANE,NA,NA,NA,NA,421.87266775,NA,358.4853076333333,NA
CORSE AVE,NA,NA,NA,NA,812.96709993,NA,NA,NA
CROSS COUNTRY BLVD,NA,1321.272096385,NA,NA,299.2273387,NA,747.06654575,NA
CURRAN DR,NA,894.2082667100001,NA,NA,NA,NA,NA,NA
DOLFIELD AVE,NA,NA,NA,NA,261.9924367016667,NA,NA,NA
DRUID PARK LAKE DR,NA,688.70665333,NA,NA,NA,NA,NA,NA
E 33RD ST,NA,162.026140478,NA,NA,306.93654613125,NA,54.1407323825,NA
E 34TH ST,NA,NA,NA,NA,NA,NA,49.93183352,NA
E BALTIMORE ST,NA,77.27323272,NA,NA,211.4231352451724,NA,NA,NA
E CLEMENT ST,NA,NA,NA,NA,NA,NA,127.73609273857143,NA
E COLD SPRING LANE,NA,NA,NA,NA,NA,NA,18.47702219,NA
E GITTINGS ST,NA,NA,NA,NA,NA,NA,137.482961211,NA
E LANVALE ST,NA,NA,119.09889731333334,NA,151.86621911333333,NA,NA,NA
E LOMBARD ST,NA,NA,NA,179.62357788625,NA,NA,NA,NA
E MONUMENT ST,NA,259.06351533142856,NA,NA,344.4839480625,NA,NA,NA
E MOUNT ROYAL AVE,NA,NA,NA,NA,292.382043846,NA,NA,NA
E PRATT ST,NA,NA,NA,303.020096856,NA,NA,NA,NA
E UNIVERSITY PKWY,NA,NA,NA,NA,NA,NA,250.36932134214285,NA
EASTERN AVE,NA,NA,NA,NA,NA,481.18084436000004,NA,NA
ECHODALE AVE,NA,NA,NA,NA,262.247403256875,NA,NA,NA
EDMONDSON AVE,NA,273.5233114481818,NA,NA,NA,NA,NA,NA
ESSEX ST,NA,NA,NA,NA,120.98265290428571,NA,NA,NA
ETHELBERT AVE,NA,NA,NA,NA,NA,NA,699.88448829,NA
EUTAW PL,NA,NA,NA,NA,NA,NA,NA,288.885093615
FAIRHAVEN AVE,NA,181.15938121705884,NA,NA,NA,NA,NA,NA
FAIT AVE,NA,NA,NA,NA,145.023085405,NA,NA,NA
FALLSWAY,NA,389.00921415,NA,NA,335.304920395,NA,NA,NA
FAWN ST,NA,NA,134.029052515,NA,NA,NA,232.4501817975,NA
FLEET ST,NA,NA,NA,NA,159.99213247,NA,NA,NA
FRANKFORD AVE,NA,336.963873615,NA,NA,267.28847682,NA,NA,NA
FRANKFORD ROAD,NA,158.634079945,NA,NA,NA,NA,NA,NA
FRANKFURST AVE,NA,313.18967684,NA,NA,NA,NA,NA,NA
FREDERICK AVE,NA,265.3133082664912,NA,NA,NA,NA,NA,NA
FREDERICK ROAD,NA,159.50782312,NA,NA,NA,NA,NA,NA
GARRISON BLVD,NA,NA,NA,NA,252.91626647290323,NA,NA,NA
GLEN AVE,NA,NA,NA,NA,328.496106027,NA,NA,NA
