subType,name,block,type,numLanes,project,route,length,dateInstalled
 , , ,BIKE BOULEVARD,1,GUILFORD AVE BIKE BLVD, ,435.73787701999998,0
 , , ,SIDEPATH,1, ,NORTHERN,1024.6746249400001,2010
 , , ,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK, ,3749.3226377300002,2010
 ,HUNTINGDON PATH, ,SIDEPATH,1, , ,0,0
STCLN,EDMONDSON AVE,5300 BLK EDMONDSON AVE,BIKE LANE,1,OPERATION ORANGE CONE, ,180.92546489,2011
STRALY,WINSTON-ROSSITER,1200 BLK WINSTON-ROSSITER,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,147.97771557999999,2007
STRALY,WINSTON-ROSSITER,1200 BLK WINSTON-ROSSITER,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,365.68471263999999,2007
STRALY,WINSTON-STONEWOOD,1200 BLK WINSTON-STONEWOOD,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,262.37189461000003,2007
STRPRD, , ,BIKE LANE,1,MAINTENANCE, ,695.69831668999996,2009
STRPRD, , ,SHARROW,1,COLLEGETOWN, ,43.140832660000001,2007
STRPRD, , ,SHARROW,1,COLLEGETOWN, ,67.819142499999998,2007
STRPRD, , ,SHARROW,1,COLLEGETOWN, ,76.006716710000006,2007
STRPRD, , ,SIGNED ROUTE,1,COLLEGETOWN,COLLEGETOWN,49.30228443,2007
STRPRD, , ,SIGNED ROUTE,1,COLLEGETOWN,COLLEGETOWN,70.020430590000004,2007
STRPRD, , ,SIGNED ROUTE,1,COLLEGETOWN,COLLEGETOWN,764.92969498000002,2007
STRPRD, , ,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,170.14895935999999,2007
STRPRD, , ,SIGNED ROUTE,2,COLLEGETOWN,COLLEGETOWN,1724.15901693,2007
STRPRD,ALBEMARLE ST, ,SHARROW,2,SOUTHEAST BIKE NETWORK, ,74.300836029999999,2010
STRPRD,ALBEMARLE ST, ,SHARROW,2,SOUTHEAST BIKE NETWORK, ,95.141690580000002,2010
STRPRD,ALBEMARLE ST, ,SHARROW,2,SOUTHEAST BIKE NETWORK, ,120.33044623000001,2010
STRPRD,ALBEMARLE ST, ,SHARROW,2,SOUTHEAST BIKE NETWORK, ,149.88371814000001,2010
STRPRD,ALBEMARLE ST,100 BLK ALBEMARLE ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,LITTLE ITALY,250.33919484,2011
STRPRD,ALBEMARLE ST,100 BLK ALBEMARLE ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,LITTLE ITALY,257.04534272000001,2011
STRPRD,ALBEMARLE ST,200 BLK ALBEMARLE ST,SIGNED ROUTE,1,SOUTHEAST BIKE NETWORK,LITTLE ITALY,250.62925371,2011
