name,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1
James Cardinal Gibbons,21201,Downtown,11,CENTRAL,"408 CHARLES ST
Baltimore, MD
"
The Battle Monument,21202,Downtown,11,CENTRAL,
Negro Heroes of the U.S Monument,21202,Downtown,11,CENTRAL,
Star Bangled Banner,21202,Downtown,11,CENTRAL,"100 HOLLIDAY ST
Baltimore, MD
"
Flame at the Holocaust Monument,21202,Downtown,11,CENTRAL,"50 MARKET PL
Baltimore, MD
"
Calvert Statue,21202,Downtown,11,CENTRAL,"100 CALVERT ST
Baltimore, MD
"
War Memorial Building/Aquatic Wa Horses,21202,Downtown,11,CENTRAL,"101 GAY ST
Baltimore, MD
"
Boy Scout,21211,Remington,7,NORTHERN,"3100 CHARLES ST
Baltimore, MD
"
Reese Monument,21213,Clifton Park,14,NORTHEASTERN,"2801 SAINT LO DR
Baltimore, MD
"
Serviceman's Memorial,21211,Johns Hopkins Homewood,14,NORTHEASTERN,
Poe Monument,21201,Mid-Town Belvedere,11,CENTRAL,"1420 CHARLES ST
Baltimore, MD
"
Maryland Line Monument,21201,Mid-Town Belvedere,11,CENTRAL,
Francis Scott Key Monument,21217,Madison Park,11,CENTRAL,
Billie Holiday,21217,Upton,11,CENTRAL,"1400 PENNSYLVANIA AVE
Baltimore, MD
"
World War One Relief,21217,Upton,11,CENTRAL,"1211 PENNSYLVANIA AVE
Baltimore, MD
"
Watson Monument,21217,Reservoir Hill,11,CENTRAL,
James L. Ridgely Monument,21217,Harlem Park,11,WESTERN,"1500 EDMONDSON AVE
Baltimore, MD
"
Luther Monument,21218,Coldstream Homestead Montebello,14,NORTHEASTERN,"3201 HILLEN ROAD
Baltimore, MD
"
Dehontshihgwa'es (Creator's Game),21218,Johns Hopkins Homewood,14,NORTHERN,"3200 CHARLES ST
Baltimore, MD
"
Sidney Lanier Monument,21218,Johns Hopkins Homewood,14,NORTHERN,"3200 CHARLES ST
Baltimore, MD
"
Lee and Jackson Monument,21218,Johns Hopkins Homewood,14,NORTHERN,"3100 CHARLES ST
Baltimore, MD
"
Sea Urchin,21218,Johns Hopkins Homewood,14,NORTHERN,"3200 CHARLES ST
Baltimore, MD
"
Daniel Coit Gilman,21218,Johns Hopkins Homewood,14,NORTHERN,"3200 CHARLES ST
Baltimore, MD
"
Centennial Sculpture,21218,Johns Hopkins Homewood,14,NORTHERN,"3200 CHARLES ST
Baltimore, MD
"
Johns Hopkins Monument,21218,Johns Hopkins Homewood,14,NORTHERN,"3200 CHARLES ST
Baltimore, MD
"
Harris Bust,21211,Remington,14,NORTHERN,"3100 CHARLES ST
Baltimore, MD
"
Isaiah Bowman,21218,Johns Hopkins Homewood,14,NORTHERN,"3200 CHARLES ST
Baltimore, MD
"
Union Soldiers and Sailors,21218,Johns Hopkins Homewood,14,NORTHERN,"3100 CHARLES ST
Baltimore, MD
"
Peace Cross (Victory Cross),21218,Guilford,14,NORTHERN,"2 UNIVERSITY PKWY
Baltimore, MD
"
U.S. Spanish-American War Memorial,21224,McElderry Park,13,SOUTHEASTERN,
Pulaski Monument,21224,Patterson Park,1,SOUTHEASTERN,"100 LINWOOD AVE
Baltimore, MD
"
Conradin Kruetzer Monument,21224,Patterson Park,1,SOUTHEASTERN,"100 LINWOOD AVE
Baltimore, MD
"
Star Spangled Banner Centennial Monument,21224,Patterson Park,1,SOUTHEASTERN,"100 LINWOOD AVE
Baltimore, MD
"
Captain John O'Donnell,21224,Canton,1,SOUTHEASTERN,"1021 LINWOOD AVE
Baltimore, MD
"
Vietnam Veteran's Memorial Monument,21230,Middle Branch/Reedbird Parks,10,SOUTHERN,"2825 HANOVER ST
Baltimore, MD
"
Colonel George Armistead Monument,21230,Locust Point Industrial Area,10,SOUTHERN,"1401 CONSTELLATION PLZA
Baltimore, MD
"
Samuel Smith Monument,21202,Federal Hill,11,SOUTHERN,"300 WARREN AVE
Baltimore, MD
"
