YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Race,Age,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder
2015,AZ,Arizona,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Overall,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,1EDU,YTS01,1
2015,AZ,Arizona,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Male,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,1EDU,YTS02,2
2015,AZ,Arizona,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3
2015,AZ,Arizona,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Overall,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,1EDU,YTS04,4
2015,AZ,Arizona,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Male,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,105BEH,169QUA,2GEN,8AGE,6RAC,1EDU,YTS05,5
2015,AZ,Arizona,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,1EDU,YTS06,6
2015,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.2,,,1.5,0.3,6.1,1377,Overall,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2015,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.2,,,1.5,0.3,6.2,700,Male,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
2015,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.1,,,1.6,0.1,6.1,671,Female,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
2015,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,12.5,,,2.7,7.2,17.9,1331,Overall,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8
2015,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,12.9,,,2.6,7.7,18.1,669,Male,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS08,8
2015,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,12.2,,,3.8,4.8,19.7,656,Female,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS08,8
2015,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,0.5,,,0.3,0,1.1,1377,Overall,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS09,9
2015,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,0.8,,,0.6,0,1.9,700,Male,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9
2015,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,0.1,,,0.1,0,0.3,671,Female,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS09,9
2015,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,1,,,0.3,0.3,1.7,1373,Overall,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS10,10
2015,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,1.1,,,0.6,0,2.3,692,Male,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS10,10
2015,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,0.9,,,0.4,0.1,1.6,675,Female,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS10,10
2015,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,4.3,,,1,2.4,6.3,1379,Overall,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS11,11
2015,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,4.4,,,1,2.4,6.5,697,Male,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS11,11
2015,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,4.2,,,1.6,1.1,7.2,676,Female,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS11,11
2015,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.3,,,0.2,0,0.8,1373,Overall,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS12,12
2015,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.6,,,0.5,0,1.5,692,Male,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS12,12
2015,AZ,Arizona,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0,,,0,0,0.1,675,Female,All Races,All Ages,Middle School,"(34.865970280000454, -111.76381127699972)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS12,12
2015,CT,Connecticut,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Overall,All Races,All Ages,Middle School,"(41.56266102000046, -72.64984095199964)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,1EDU,YTS01,1
2015,CT,Connecticut,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,38.3,,,5.9,26.9,49.8,94,Overall,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,2EDU,YTS01,1
2015,CT,Connecticut,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Male,All Races,All Ages,Middle School,"(41.56266102000046, -72.64984095199964)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,1EDU,YTS02,2
2015,CT,Connecticut,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Male,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,105BEH,170CES,2GEN,8AGE,6RAC,2EDU,YTS02,2
2015,CT,Connecticut,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,Middle School,"(41.56266102000046, -72.64984095199964)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3
2015,CT,Connecticut,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,2EDU,YTS03,3
2015,CT,Connecticut,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Overall,All Races,All Ages,Middle School,"(41.56266102000046, -72.64984095199964)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,1EDU,YTS04,4
2015,CT,Connecticut,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,59.6,,,5.8,48.4,70.9,107,Overall,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,2EDU,YTS04,4
2015,CT,Connecticut,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Male,All Races,All Ages,Middle School,"(41.56266102000046, -72.64984095199964)",BEH,105BEH,169QUA,2GEN,8AGE,6RAC,1EDU,YTS05,5
2015,CT,Connecticut,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,69.5,,,8,53.9,85.1,51,Male,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,105BEH,169QUA,2GEN,8AGE,6RAC,2EDU,YTS05,5
2015,CT,Connecticut,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Female,All Races,All Ages,Middle School,"(41.56266102000046, -72.64984095199964)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,1EDU,YTS06,6
2015,CT,Connecticut,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,,%,Percentage,50.2,,,7,36.6,63.9,54,Female,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,105BEH,169QUA,3GEN,8AGE,6RAC,2EDU,YTS06,6
2015,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,0.8,,,0.2,0.4,1.2,2462,Overall,All Races,All Ages,Middle School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2015,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,5.6,,,1,3.6,7.7,2260,Overall,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
2015,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,0.7,,,0.2,0.3,1.1,1253,Male,All Races,All Ages,Middle School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
2015,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,5.6,,,1.1,3.5,7.7,1166,Male,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
2015,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,1,,,0.2,0.5,1.4,1198,Female,All Races,All Ages,Middle School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
2015,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,5.6,,,1.3,3,8.2,1088,Female,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
2015,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,4.4,,,0.8,2.9,5.9,2344,Overall,All Races,All Ages,Middle School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8
2015,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,21.8,,,1.6,18.6,25,2174,Overall,All Races,All Ages,High School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS08,8
2015,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,4.6,,,0.8,3.1,6.2,1182,Male,All Races,All Ages,Middle School,"(41.56266102000046, -72.64984095199964)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS08,8
