datetime	city	state	country	shape	duration (seconds)	duration (hours/min)	comments	date posted	latitude	longitude
11/15/1998 21:00	cranston	ri	us	light	5	5 seconds	i was in a car with my mother driving down phenix ave. i saw a bright orangish light in the sky i looked up and it was moving slowwly b	12/2/2000	41.7797222	-71.4377778
12/25/2011 17:30	prior lake	mn	us	light	240	3-4 minutes	Two red lights over Prior Lake&#44 MN	1/12/2012	44.7133333	-93.4225000
10/29/2001 22:30	rancho cucamonga	ca	us	fireball	540	8-9 minutes	Pulsing orange light&#44 hovering&#44 sparking&#44 and dimming until fading completely.	11/20/2001	34.1063889	-117.5922222
7/16/2012 04:32	ottumwa	ia	us	light	0	NA	I have seen three lights in northeast sky one really bright one bright and one that looks like a star going out you can see it every ni	8/5/2012	41.0041667	-92.3736111
7/7/1959 23:00	long beach	ca	us	light	45	45 seconds	As a young man&#44 I would lay out in the yard at night and look at the sky--I often saw an object moving at night speed&#44 very high&#44 no no	4/26/2000	33.7669444	-118.1883333
8/16/2001 19:30	taft	ca	NA	light	3600	1 hour	what happened to the report i gave about this event . we saw three lights very high over S. San Joaquin Valley  that  moved around	12/3/2004	35.142467	-119.456508
12/11/2010 23:00	pinkham notch	nh	NA	fireball	0	NA	Multiple sightings near base of Mt. Washington&#44 NH	1/5/2011	44.257157	-71.252915
11/26/2010 21:26	bridgeton	mo	us	light	0	a while	green circular light in the sky that was going around and around in circles	1/5/2011	38.7669444	-90.4113889
7/18/2009 22:00	pound ridge	ny	us	other	10	10 seconds	Green glow cresting trees 50 yards away hovering then going away.	12/20/2012	41.2086111	-73.5752778
12/3/2003 18:45	southlake	tx	us	oval	600	5-10 minutes	Oval with a red light at the bottom. Flying at an angle.	12/9/2003	32.9411111	-97.1338889
3/23/2006 22:00	powhatan	va	us	light	180	2-3 minutes	odd light that moved quickly to two destinations&#44 reappeared to first destination&#44 faded away&#44 came back as coloured light and blinked	5/15/2006	37.5419444	-77.9191667
4/4/2003 23:38	coral springs	fl	us	triangle	60	60 seconds	we saw a dark figure outside the window. at first we thought it was a man. A naked man in the middle of the road. but after about half	4/22/2003	26.2708333	-80.2708333
7/7/1973 17:30	portland	or	us	fireball	120	2 minutes	My cousin and I were laying on our backs on a hill in front of my home - at about a 30 degree angle.  Looking up at the night sky&#44 talk	9/2/2005	45.5236111	-122.6750000
9/9/2001 22:00	rochelle	tx	us	light	15	15 seconds	on that night we were on a 4 vehicle convoy driving back from one of our sights back to fort hood&#44 texas our base&#44 on route 190 heading	10/12/2001	31.2244444	-99.2108333
1/30/2009 05:47	mission hills	ca	us	light	15	15 seconds	Points (2) stop&#44 hover&#44 then fade away	3/19/2009	34.2572222	-118.4661111
8/8/1995 22:40	clinton	mo	us	NA	900	15 min.	Son wakes mother to observe peculiar pulsing red&#44 blue&#44 yellow lights positioned in row.  Obj. appears to eject colored light.	11/2/1999	38.3686111	-93.7780556
3/13/2012 22:45	mount pleasant	mi	us	unknown	1800	30 mins	2 hovering lights.  ((NUFORC Note:  Probable sighting of Jupiter and Venus&#44 which currently are prominent in western sky.  PD))	3/16/2012	43.5977778	-84.7675000
1/3/2006 02:00	dont know	tx	NA	triangle	0	driving	Well we driving down the road and my mom was listening to her music and my brother i were relaxing because we where going to san antoni	2/14/2006	41.730561	-78.682099
7/7/2007 21:30	lemont	il	us	circle	1500	25 min.	Approx. 50 craft flying in various formations observed across the evening sky.	8/14/2007	41.6736111	-88.0016667
5/6/2006 22:20	newburgh	ny	us	light	30	30 seconds	On 5/6/06 at 10:20 PM we spotted a big round ball of light moving swifly across the sky in Newburgh&#44 NY.	5/15/2006	41.5033333	-74.0108333
