datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
8/2/2012 21:00,kennewick,wa,us,triangle,600,5-10 minutes,Saw three triangle shaped craft with red and white lights and moving in slow formation..,8/19/2012,46.2113889,-119.1361111
10/6/1995 19:00        ,puyallup,wa,us,NA,900,15 min.,Man witnesses &quot;small whitish&#44 blue-green ball&quot; pass overhead&#44 flying to east.,11/2/1999,47.1855556,-122.2916667
          4/17/2005 23:00,grovetown,ga,us,circle,2700,45 minutes,Object appeared to be a star at first glance sitting low on the horizon  ((NUFORC Note:  Possibly Sirius.  PD)),5/11/2005,33.4502778,-82.1983333
12/31/2013 23:10          ,corvallis,or,us,         circle,60,1 minute,2 amber lights dimming as ascending into sky.  Moving then stopping.,1/10/2014,44.5647222,-123.2608333
        3/30/2014 01:00    ,      apache junction,az,us,light,1200,20 minutes,Bright white light that changed colors red greed but was no sound and hovered over the Superstition Mountains then went straight down.,4/4/2014,33.4150000,-111.5488889
6/22/2012 23:00,pittstown,nj,us,light,120,a few minutes,Three orange lights moving around in sky.,7/4/2012,40.5819444,-74.9594444
11/15/1998 18:49,i-35 (about 3 miles north of west),tx,NA,disk,60,1 minute ?,driving south and saw unusual lights to the left. two lights hovered&#44 blinked in sequence&#44 then a long row lit up. behind&#44saw the shape,11/19/1998,30.629951,-97.691957
4/5/2012 23:00,healdsburg,ca,us,cigar,2,2 seconds,Bright orange oblong object flying very low over house. Healdsburg&#44 California.,4/18/2012,38.6105556,-122.8680556
2/9/2012 02:00,        monroe,mi,us,           unknown,7200,between 2:00 and 4:00 am,Weird light above the fields in Ida&#44 a takeoff and possible landing,2/10/ 2012,41.9163889,-83.3977778
    2/23/2014 23:00,balboa island,ca,us,circle,1680,28 minutes,Three round lights came over ocean then disappeared.  This happened every minute for 28 minutes then they were gone.,2/27/2014,33.5944444,-117.8908333
7/3/2007 22:20,saddleback,ca,NA,circle,600,10 min.,3 UFOs Hovering in Saddleback and lights &quot;parked&quot; on the ground.,8/7/2007,37.338021,-119.585774
3/4/2009 18:00,arcata,ca,us,light,1,1 second,Bright glowing object falls from Arcata sky&#44 air craft persues.,3/19/2009,40.8666667,-124.0816667
7/16/2008 22:00,indian beach,nc,us,light,600,10 minutes,Strange lights over Atlantic Ocean,8/12/2008,34.6863889,-76.8955556
4/21/2007 03:10,      grove city,pa,us,chevron,4,4 seconds,A silent and large boomerang-shaped object.,4/27/2007,41.1577778,-80.0888889
1/1/1994 00:00,el segundo,ca,us,other,1800,30 minutes,What I&#39m seeing&#44 please help.,11/11/2013,33.9191667,-118.4155556
3/30/1999 19:30,pittsburgh,pa,us,light,3600,1hr 1/2,The object hovered at about 100 feet very bright white lights that would change intensety and every now and then a red light would join,4/26/1999,40.4405556,-79.9961111
6/20/1979 23:30,bohemia,ny,us,light,180,2-3min.,Driving on Pond Rd.Returning from my sister&#39s house I saw a light that appeared to be to the street (I actually thought it was part of,4/28/2001,40.7691667,-73.1155556
12/15/1985 23:00,savannah (southeast of),ga,us,triangle,0,don&#39t know,Stadium sized triangular craft with red blue and green lights hovered over trees in silence on Ga. night 1985 /6,9/9/2004,32.0833333,-81.1000000
11/1/2008 19:15,indianapolis,in,us,triangle,0,unsure,U/ V shaped gray object. Smaller sphere shaped object near it&#44 no lights or sounds on either.,1/10/2009,39.7683333,-86.1580556
1/12/2004 02:00,santa fe,nm,us,light,600,10 minutes,Multiple red lights decending towards earth,5/24/2005,35.6869444,-105.9372222
