name,lanetype,the_length
ALBEMARLE ST,BIKE BOULEVARD,NA
ALICEANNA ST,BIKE BOULEVARD,NA
ARGONNE DR,BIKE BOULEVARD,NA
ART MUSEUM DR,BIKE BOULEVARD,NA
AUCHENTOROLY TERR,BIKE BOULEVARD,NA
BANK ST,BIKE BOULEVARD,NA
BATTERY AVE,BIKE BOULEVARD,NA
BEAUMONT AVE,BIKE BOULEVARD,NA
BELAIR ROAD,BIKE BOULEVARD,NA
BOSTON ST,BIKE BOULEVARD,NA
CHARLCOTE ROAD,BIKE BOULEVARD,NA
CHERRY HILL ROAD,BIKE BOULEVARD,NA
CHERRYLAND ROAD,BIKE BOULEVARD,NA
CHESTNUT AVE,BIKE BOULEVARD,NA
CLARKS LANE,BIKE BOULEVARD,NA
CORSE AVE,BIKE BOULEVARD,NA
CROSS COUNTRY BLVD,BIKE BOULEVARD,NA
CURRAN DR,BIKE BOULEVARD,NA
DOLFIELD AVE,BIKE BOULEVARD,NA
DRUID PARK LAKE DR,BIKE BOULEVARD,NA
E 33RD ST,BIKE BOULEVARD,NA
E 34TH ST,BIKE BOULEVARD,NA
E BALTIMORE ST,BIKE BOULEVARD,NA
E CLEMENT ST,BIKE BOULEVARD,NA
E COLD SPRING LANE,BIKE BOULEVARD,NA
E GITTINGS ST,BIKE BOULEVARD,NA
E LANVALE ST,BIKE BOULEVARD,NA
E LOMBARD ST,BIKE BOULEVARD,NA
E MONUMENT ST,BIKE BOULEVARD,NA
E MOUNT ROYAL AVE,BIKE BOULEVARD,NA
E PRATT ST,BIKE BOULEVARD,NA
E UNIVERSITY PKWY,BIKE BOULEVARD,NA
EASTERN AVE,BIKE BOULEVARD,NA
ECHODALE AVE,BIKE BOULEVARD,NA
EDMONDSON AVE,BIKE BOULEVARD,NA
ESSEX ST,BIKE BOULEVARD,NA
ETHELBERT AVE,BIKE BOULEVARD,NA
FAIRHAVEN AVE,BIKE BOULEVARD,NA
FAIT AVE,BIKE BOULEVARD,NA
FALLSWAY,BIKE BOULEVARD,NA
FAWN ST,BIKE BOULEVARD,NA
FLEET ST,BIKE BOULEVARD,NA
FRANKFORD AVE,BIKE BOULEVARD,NA
FRANKFORD ROAD,BIKE BOULEVARD,NA
FRANKFURST AVE,BIKE BOULEVARD,NA
FREDERICK AVE,BIKE BOULEVARD,NA
FREDERICK ROAD,BIKE BOULEVARD,NA
GARRISON BLVD,BIKE BOULEVARD,NA
GLEN AVE,BIKE BOULEVARD,NA
GOUGH ST,BIKE BOULEVARD,NA
GREENSPRING AVE,BIKE BOULEVARD,NA
GREENWAY,BIKE BOULEVARD,NA
GUILFORD AVE,BIKE BOULEVARD,8493.26011737
GUILFORD TERR,BIKE BOULEVARD,737.63159806
GWYNN OAK AVE,BIKE BOULEVARD,NA
HAMLIN AVE,BIKE BOULEVARD,NA
HILLEN ROAD,BIKE BOULEVARD,NA
HILTON ROAD,BIKE BOULEVARD,NA
HUNTINGDON PATH,BIKE BOULEVARD,NA
JACKSON ST,BIKE BOULEVARD,NA
KELLY AVE,BIKE BOULEVARD,NA
KESWICK ROAD,BIKE BOULEVARD,NA
LAKE DR,BIKE BOULEVARD,NA
LAKE MONTEBELLO DR,BIKE BOULEVARD,NA
LANCASTER ST,BIKE BOULEVARD,NA
LEAKIN ST,BIKE BOULEVARD,NA
LIBERTY HEIGHTS AVE,BIKE BOULEVARD,NA
LIGHT ST,BIKE BOULEVARD,NA
LOCH RAVEN BLVD,BIKE BOULEVARD,NA
MADISON AVE,BIKE BOULEVARD,NA
MC CALLUM DR,BIKE BOULEVARD,NA
MILLBROOK ROAD,BIKE BOULEVARD,NA
MORAVIA PARK DR,BIKE BOULEVARD,NA
N BROADWAY,BIKE BOULEVARD,NA
N CENTRAL AVE,BIKE BOULEVARD,NA
N CHARLES,BIKE BOULEVARD,NA
N CHARLES ST,BIKE BOULEVARD,NA
N HIGHLAND AVE,BIKE BOULEVARD,NA
N ROGERS AVE,BIKE BOULEVARD,NA
NORTHWOOD DR,BIKE BOULEVARD,NA
NORWOOD ROAD,BIKE BOULEVARD,NA
NOTRE DAME LANE,BIKE BOULEVARD,NA
O'DONNELL ST CUT OFF,BIKE BOULEVARD,NA
PACIFIC ST,BIKE BOULEVARD,NA
PARK HEIGHTS AVE,BIKE BOULEVARD,NA
PENTWOOD ROAD,BIKE BOULEVARD,NA
PIMLICO ROAD,BIKE BOULEVARD,NA
POST ROAD,BIKE BOULEVARD,NA
POTEE ST,BIKE BOULEVARD,NA
PRESIDENT ST,BIKE BOULEVARD,NA
RIVERSIDE AVE,BIKE BOULEVARD,NA
ROLAND AVE,BIKE BOULEVARD,NA
S BROADWAY,BIKE BOULEVARD,NA
S CAROLINE ST,BIKE BOULEVARD,NA
S CENTRAL AVE,BIKE BOULEVARD,NA
S CONKLING ST,BIKE BOULEVARD,NA
S EXETER ST,BIKE BOULEVARD,NA
S HANOVER,BIKE BOULEVARD,NA
S HANOVER ST,BIKE BOULEVARD,NA
S HAVEN ST,BIKE BOULEVARD,NA
S HIGHLAND AVE,BIKE BOULEVARD,NA
S MONTFORD AVE,BIKE BOULEVARD,NA
S PRESIDENT ST,BIKE BOULEVARD,NA
SAINT PAUL ST,BIKE BOULEVARD,NA
SAN MARTIN DR,BIKE BOULEVARD,NA
SEQUOIA AVE,BIKE BOULEVARD,NA
STUART AVE,BIKE BOULEVARD,NA
THE ALAMEDA,BIKE BOULEVARD,NA
TRAINOR AVE,BIKE BOULEVARD,NA
TRINITY ST,BIKE BOULEVARD,NA
VAN LILL ST,BIKE BOULEVARD,NA
W 33RD ST,BIKE BOULEVARD,NA
W 36TH ST,BIKE BOULEVARD,NA
W 39TH ST,BIKE BOULEVARD,NA
W BELVEDERE AVE,BIKE BOULEVARD,NA
W COLD SPRING LANE,BIKE BOULEVARD,NA
W LANVALE ST,BIKE BOULEVARD,NA
W LOMBARD ST,BIKE BOULEVARD,NA
W PRATT ST,BIKE BOULEVARD,NA
W ROGERS AVE,BIKE BOULEVARD,NA
